KEY_CODE,MOJI,TOTAL,TOTAL0_4,TOTAL5_9,TOTAL10_14,総数１５～１９歳,総数２０～２４歳,総数２５～２９歳,総数３０～３４歳,総数３５～３９歳,総数４０～４４歳,総数４５～４９歳,総数５０～５４歳,総数５５～５９歳,総数６０～６４歳,総数６５～６９歳,総数７０～７４歳,総数１５歳未満,総数１５～６４歳,総数６５歳以上,総数７５歳以上,男の総数、年齢「不詳」含む,MALE0_4,MALE5_9,MALE10_14,男１５～１９歳,男２０～２４歳,男２５～２９歳,男３０～３４歳,男３５～３９歳,男４０～４４歳,男４５～４９歳,男５０～５４歳,男５５～５９歳,男６０～６４歳,男６５～６９歳,男７０～７４歳,男１５歳未満,男１５～６４歳,男６５歳以上,男７５歳以上,女の総数、年齢「不詳」含む,FEMALE0_4,FEMALE5_9,FEMALE10_14,女１５～１９歳,女２０～２４歳,女２５～２９歳,女３０～３４歳,女３５～３９歳,女４０～４４歳,女４５～４９歳,女５０～５４歳,女５５～５９歳,女６０～６４歳,女６５～６９歳,女７０～７４歳,女１５歳未満,女１５～６４歳,女６５歳以上,女７５歳以上
27111016001,芦原１丁目,261,3,2,1,10,40,60,35,11,10,5,7,5,10,18,7,6,193,46,21,116,1,2,1,5,13,27,18,6,5,2,5,3,1,12,3,4,85,21,6,145,2,0,0,5,27,33,17,5,5,3,2,2,9,6,4,2,108,25,15
27111016002,芦原２丁目,167,13,13,6,7,10,18,17,17,10,11,9,6,5,4,8,32,110,25,13,75,4,5,1,4,6,4,10,7,4,5,5,5,4,4,2,10,54,11,5,92,9,8,5,3,4,14,7,10,6,6,4,1,1,0,6,22,56,14,8
27111017001,久保吉１丁目,526,22,24,10,21,33,50,36,39,32,33,18,27,31,51,29,56,320,138,58,274,10,16,6,15,17,21,18,25,20,16,10,12,17,25,17,32,171,66,24,252,12,8,4,6,16,29,18,14,12,17,8,15,14,26,12,24,149,72,34
27111017002,久保吉２丁目,560,3,7,12,13,13,27,20,23,35,30,37,31,50,71,67,22,279,258,120,253,1,4,8,6,6,17,11,14,21,14,15,14,23,31,31,13,141,99,37,307,2,3,4,7,7,10,9,9,14,16,22,17,27,40,36,9,138,159,83
27111018001,立葉１丁目,224,8,10,11,4,10,34,31,21,19,17,7,8,6,12,5,29,157,30,13,116,3,5,5,3,5,14,18,10,10,12,4,6,1,9,2,13,83,17,6,108,5,5,6,1,5,20,13,11,9,5,3,2,5,3,3,16,74,13,7
27111018002,立葉２丁目,260,10,4,3,9,16,39,28,15,16,14,6,11,15,25,17,17,169,71,29,114,6,0,1,4,7,19,10,7,7,6,5,4,8,13,6,7,77,28,9,146,4,4,2,5,9,20,18,8,9,8,1,7,7,12,11,10,92,43,20
27111019001,木津川１丁目,423,1,0,1,6,55,76,57,26,24,22,18,14,26,17,19,2,324,60,24,230,0,0,0,4,25,35,25,18,14,16,12,9,21,10,10,0,179,32,12,193,1,0,1,2,30,41,32,8,10,6,6,5,5,7,9,2,145,28,12
27111019002,木津川２丁目,165,8,7,7,13,12,13,11,7,11,14,22,9,4,10,4,22,116,17,3,88,2,3,5,6,7,9,6,3,4,8,10,5,1,6,2,10,59,9,1,77,6,4,2,7,5,4,5,4,7,6,12,4,3,4,2,12,57,8,2
27111020001,幸町１丁目,1120,39,23,25,34,76,116,152,103,89,67,62,61,61,63,38,87,821,157,56,532,26,12,15,13,28,49,77,47,46,34,29,25,31,31,15,53,379,68,22,588,13,11,10,21,48,67,75,56,43,33,33,36,30,32,23,34,442,89,34
27111020002,幸町２丁目,1894,53,39,30,50,119,262,258,172,125,92,74,63,69,66,56,122,1284,331,209,870,28,25,19,38,50,109,115,81,66,44,36,35,33,37,23,72,607,104,44,1024,25,14,11,12,69,153,143,91,59,48,38,28,36,29,33,50,677,227,165
27111020003,幸町３丁目,1921,54,30,35,55,191,299,280,190,141,90,102,63,60,62,35,119,1471,197,100,906,32,13,15,23,72,116,142,99,64,46,58,37,38,29,18,60,695,85,38,1015,22,17,20,32,119,183,138,91,77,44,44,26,22,33,17,59,776,112,62
27111021001,桜川１丁目,1198,38,9,12,43,88,164,155,145,105,69,50,46,46,35,20,59,911,84,29,546,16,6,6,13,24,60,78,79,57,33,23,26,28,15,8,28,421,32,9,652,22,3,6,30,64,104,77,66,48,36,27,20,18,20,12,31,490,52,20
27111021002,桜川２丁目,3173,147,50,33,46,253,515,493,339,236,150,118,94,113,127,100,230,2357,382,155,1431,77,24,18,27,86,209,238,165,119,68,52,45,54,55,39,119,1063,140,46,1742,70,26,15,19,167,306,255,174,117,82,66,49,59,72,61,111,1294,242,109
27111021003,桜川３丁目,1214,40,12,11,15,52,144,137,90,76,64,55,57,73,73,70,63,763,336,193,541,18,4,8,8,14,59,70,53,45,32,24,23,39,31,37,30,367,113,45,673,22,8,3,7,38,85,67,37,31,32,31,34,34,42,33,33,396,223,148
27111021004,桜川４丁目,1615,62,20,11,40,133,282,210,137,103,71,57,68,72,72,42,93,1173,246,132,785,32,12,7,17,57,135,116,72,56,39,31,35,35,33,18,51,593,94,43,830,30,8,4,23,76,147,94,65,47,32,26,33,37,39,24,42,580,152,89
27111022001,塩草１丁目,587,26,13,21,24,18,28,48,56,45,21,33,38,39,62,36,60,350,162,64,280,12,7,11,13,8,12,21,29,22,12,19,12,19,29,13,30,167,68,26,307,14,6,10,11,10,16,27,27,23,9,14,26,20,33,23,30,183,94,38
27111022002,塩草２丁目,671,51,23,23,24,32,75,72,49,54,35,30,29,25,35,19,97,425,89,35,341,25,16,11,12,16,28,41,30,30,14,20,13,14,21,8,52,218,42,13,330,26,7,12,12,16,47,31,19,24,21,10,16,11,14,11,45,207,47,22
27111022003,塩草３丁目,1638,54,24,24,47,156,291,225,145,91,66,53,51,62,79,53,102,1187,235,103,815,28,8,11,18,65,136,120,81,51,35,32,22,39,46,24,47,599,110,40,823,26,16,13,29,91,155,105,64,40,31,21,29,23,33,29,55,588,125,63
27111023001,稲荷１丁目,1365,55,22,26,32,119,205,237,122,97,89,56,36,40,43,44,103,1033,173,86,627,30,11,11,12,41,83,111,62,47,45,32,18,21,23,26,52,472,79,30,738,25,11,15,20,78,122,126,60,50,44,24,18,19,20,18,51,561,94,56
27111023002,稲荷２丁目,1122,38,10,11,17,93,173,152,96,72,57,35,28,38,35,24,59,761,263,204,492,16,6,7,9,27,69,68,46,46,32,20,14,18,23,14,29,349,96,59,630,22,4,4,8,66,104,84,50,26,25,15,14,20,12,10,30,412,167,145
